key	defined_in	ref_count	ref_files
POSTGRES_USER	.env.example	0	
POSTGRES_PASSWORD	.env.example	0	
POSTGRES_DB	.env.example	0	
DATABASE_URL	.env.example	3	apps/api/docker-entrypoint.sh,apps/api/tests/integration/api/auth.integration.test.ts,apps/api/tests/integration/api/automation.integration.test.ts,
PORT	.env.example	1	apps/web/lib/api-server.ts,
HOST	.env.example	0	
JWT_SECRET	.env.example	1	apps/api/tests/integration/api/permissions-rbac.integration.test.ts,
NEXT_PUBLIC_API_URL	.env.example	4	apps/web/lib/axios.ts,apps/web/lib/api-server.ts,apps/web/lib/socket.ts,
SEED_PLATFORM_ADMIN_USERNAME	.env.example	1	apps/api/prisma/seeds/index.ts,
SEED_PLATFORM_ADMIN_PASSWORD	.env.example	1	apps/api/prisma/seeds/index.ts,
POSTGRES_PORT	apps/api/.env.example	0	
SUPERADMIN_USERNAME	apps/api/.env.example	0	
SUPERADMIN_PASSWORD	apps/api/.env.example	0	
NODE_ENV	apps/api/.env.example	18	apps/web/store/auth-store.ts,apps/tenant-site/components/blocks/BlockRenderer.tsx,apps/tenant-site/components/blocks/kinds/SnippetRefBlock.tsx,
API_PUBLIC_URL	apps/api/.env.example	0	
REDIS_URL	apps/api/.env.example	0	
META_APP_ID	apps/api/.env.example	0	
META_APP_SECRET	apps/api/.env.example	0	
AI_REPLY_PROVIDER	apps/api/.env.example	0	
AI_REPLY_API_KEY	apps/api/.env.example	0	
AI_REPLY_MODEL	apps/api/.env.example	0	
CREDENTIAL_ENCRYPTION_KEY	apps/api/.env.example	0	
AWS_REGION	apps/api/.env.example	0	
PHOTOS_S3_BUCKET	apps/api/.env.example	0	
PHOTOS_PUBLIC_URL_PREFIX	apps/api/.env.example	0	
PHOTOS_S3_KEY_PREFIX	apps/api/.env.example	0	
