kind	flag	defined_in	api_refs	web_refs	tenant_refs	total
Feature	STARTER	packages/shared/src/config/features.ts	28	15	0	43
Feature	PROFESSIONAL	packages/shared/src/config/features.ts	10	11	0	21
Feature	ENTERPRISE	packages/shared/src/config/features.ts	8	11	0	19
Feature	BULK_UPLOAD_PRODUCTS	packages/shared/src/config/features.ts	2	10	0	12
Feature	BULK_UPLOAD_SALES	packages/shared/src/config/features.ts	1	4	0	5
Feature	ANALYTICS_BASIC	packages/shared/src/config/features.ts	0	0	0	0
Feature	ANALYTICS_ADVANCED	packages/shared/src/config/features.ts	1	13	0	14
Feature	PROMO_MANAGEMENT	packages/shared/src/config/features.ts	0	6	0	6
Feature	AUDIT_LOGS	packages/shared/src/config/features.ts	0	5	0	5
Feature	API_ACCESS	packages/shared/src/config/features.ts	0	0	0	0
Feature	MULTIPLE_LOCATIONS	packages/shared/src/config/features.ts	0	0	0	0
Feature	SALES_PIPELINE	packages/shared/src/config/features.ts	0	96	0	96
Feature	MESSAGING	packages/shared/src/config/features.ts	3	28	0	31
EnvFeature	CRM	packages/shared/src/config/env-features.ts	133	113	1	247
EnvFeature	CRM_DEALS	packages/shared/src/config/env-features.ts	2	28	0	30
EnvFeature	CRM_REPORTS	packages/shared/src/config/env-features.ts	0	3	0	3
EnvFeature	CRM_SETTINGS	packages/shared/src/config/env-features.ts	0	3	0	3
EnvFeature	CRM_WORKFLOWS	packages/shared/src/config/env-features.ts	1	17	0	18
EnvFeature	AUTOMATION	packages/shared/src/config/env-features.ts	5	5	0	10
EnvFeature	AUTOMATION_VISUAL_BUILDER	packages/shared/src/config/env-features.ts	0	1	0	1
EnvFeature	AUTOMATION_BRANCHING	packages/shared/src/config/env-features.ts	3	9	0	12
EnvFeature	CRM_PIPELINES_TAB	packages/shared/src/config/env-features.ts	1	22	0	23
EnvFeature	SALES	packages/shared/src/config/env-features.ts	57	34	0	91
EnvFeature	SALES_USER_REPORT	packages/shared/src/config/env-features.ts	0	1	0	1
EnvFeature	CATALOG	packages/shared/src/config/env-features.ts	0	2	0	2
EnvFeature	PRODUCTS	packages/shared/src/config/env-features.ts	30	61	0	91
EnvFeature	CATALOG_SETTINGS	packages/shared/src/config/env-features.ts	0	1	0	1
EnvFeature	LOCATIONS	packages/shared/src/config/env-features.ts	7	6	0	13
EnvFeature	VENDORS	packages/shared/src/config/env-features.ts	5	6	0	11
EnvFeature	TRANSFERS	packages/shared/src/config/env-features.ts	11	12	0	23
EnvFeature	DISCOUNTS	packages/shared/src/config/env-features.ts	5	1	0	6
EnvFeature	PROMOTIONS	packages/shared/src/config/env-features.ts	1	5	0	6
EnvFeature	PROMO_CODES	packages/shared/src/config/env-features.ts	0	2	0	2
EnvFeature	BULK_UPLOAD_PRODUCTS	packages/shared/src/config/env-features.ts	2	10	0	12
EnvFeature	BULK_UPLOAD_SALES	packages/shared/src/config/env-features.ts	1	4	0	5
EnvFeature	REPORTS_SALES	packages/shared/src/config/env-features.ts	0	2	0	2
EnvFeature	REPORTS_INVENTORY	packages/shared/src/config/env-features.ts	0	2	0	2
EnvFeature	REPORTS_CUSTOMERS	packages/shared/src/config/env-features.ts	0	2	0	2
EnvFeature	REPORTS_TRENDS	packages/shared/src/config/env-features.ts	0	2	0	2
EnvFeature	REPORTS_FINANCIAL	packages/shared/src/config/env-features.ts	0	2	0	2
EnvFeature	SETTINGS	packages/shared/src/config/env-features.ts	62	69	0	131
EnvFeature	USERS_MANAGEMENT	packages/shared/src/config/env-features.ts	0	1	0	1
EnvFeature	AUDIT_LOGS	packages/shared/src/config/env-features.ts	0	5	0	5
EnvFeature	API_ACCESS	packages/shared/src/config/env-features.ts	0	0	0	0
EnvFeature	ANALYTICS_ADVANCED	packages/shared/src/config/env-features.ts	1	13	0	14
EnvFeature	NOTIFICATIONS	packages/shared/src/config/env-features.ts	1	2	0	3
EnvFeature	TASKS	packages/shared/src/config/env-features.ts	9	6	0	15
EnvFeature	SYSTEM_ADMIN	packages/shared/src/config/env-features.ts	0	0	0	0
EnvFeature	PASSWORD_RESETS	packages/shared/src/config/env-features.ts	0	0	0	0
EnvFeature	TRANSFER_REQUEST	packages/shared/src/config/env-features.ts	1	2	0	3
EnvFeature	MESSAGING	packages/shared/src/config/env-features.ts	3	28	0	31
EnvFeature	MEDIA_UPLOAD	packages/shared/src/config/env-features.ts	1	9	0	10
EnvFeature	TENANT_WEBSITES	packages/shared/src/config/env-features.ts	28	23	0	51
EnvFeature	NOTION_STYLE_EDITOR	packages/shared/src/config/env-features.ts	0	6	0	6
EnvFeature	PUBLIC_DATA_API	packages/shared/src/config/env-features.ts	3	4	0	7
EnvFeature	CMS_REVIEW_WORKFLOW	packages/shared/src/config/env-features.ts	5	7	0	12
